i,export_value,import_value,balance_ratio,export_stability_index,import_stability_index,total_stability_index,top_five_export,top_five_import,top_five_trade,export_entropy,import_entropy,total_entropy,export_HHI,import_HHI,total_HHI,export_partner_count,import_partner_count,total_partner_count,average_export_distance,average_import_distance,farthest_import_distance,farthest_export_distance,total_trade_value,export_weight,import_weight,average_trade_distance,farthest_trade_distance
214,28025488.636319816,49658464.484218605,0.564364785085658,0.04099075192386985,0.064799377947997,0.10579012987186685,10581128.851278238,251802.01252672437,10832930.863804964,4.446757000588234,6.306257783899907,6.091745298798686,0.042503634841446966,0.012129954500974652,0.010950626138844123,166,187.0,353.0,6057.2750815691425,8237.64310738847,17977.321379059027,17977.321379059027,77683953.12053841,0.3607629054720481,0.639237094527952,7451.0472033955375,17977.321379059027
218,60806675.64984879,58887457.02289569,1.0325912974337965,0.0606784606129432,0.08356457857070673,0.14424303918364995,42715716.874173135,5872912.595637498,48588629.46981063,2.9281557601141976,6.140798816337751,5.076755337613555,0.1588199353199117,0.015673835485101897,0.047061448371562134,183,180.0,363.0,8532.89112882882,9168.792623151367,19727.55201207025,19727.55201207025,119694132.67274448,0.5080171792221446,0.4919828207778553,8845.74373974248,19727.55201207025
222,17795096.44599243,32073280.03904288,0.5548262112365937,0.01730310682158941,0.052357402481848225,0.06966050930343763,4226891.293519587,586174.9229298866,4813066.216449474,5.000294204093393,6.228629725748251,6.126995517144844,0.02163642154102932,0.012535934544137354,0.009994558027713936,156,165.0,321.0,2156.4114547444565,6425.487474494857,17830.69575605378,17830.69575605378,49868376.48503531,0.3568413030516935,0.6431586969483065,4902.104824780387,17830.69575605378
226,14698473.862242682,2758945.198,5.327570070220251,0.14501639819689757,0.024207188298038546,0.16922358649493613,14057394.189815722,577.027,14057971.216815723,1.2213059676457307,5.886716254198165,2.3725808596584455,0.4624483524790554,0.011303992714678827,0.024970255700473384,81,92.0,173.0,8540.15384932001,6470.341571069056,15171.601166919272,13480.408299348419,17457419.060242683,0.8419614498294774,0.15803855017052254,8213.043717740082,15171.601166919272
231,7612446.687589449,25951161.822,0.2933374135541024,0.010893707602637786,0.03393540889900651,0.0448291165016443,4996894.972963006,777017.3389999999,5773912.311963007,3.062473340885596,6.107268856407303,5.887344360802291,0.13648197890555522,0.008991126086018831,0.009818547960375543,133,117.0,250.0,5518.384044305606,5975.862684254563,14536.004561211828,14536.004561211828,33563608.50958945,0.22680656298962906,0.773193437010371,5872.10352628657,14536.004561211828
232,1273337.4093171526,1138386.419,1.118545854083272,0.07503336061173693,0.05047732916764942,0.12551068977938634,1245617.3332971148,0.0,1245617.3332971148,1.4171543088577288,5.318768167975372,3.9443975046522057,0.2936051709769213,0.021091034789528066,0.00032681276928081527,80,75.0,155.0,5382.711749145247,3725.2609795605626,14626.584778196624,14626.584778196624,2411723.8283171523,0.5279781185417317,0.47202188145826834,4600.35871846143,14626.584778196624
233,46424254.42876819,53948176.91746661,0.8605342586421595,0.03984185316801757,0.054819739782772554,0.09466159295079013,8776830.210657956,6144110.148023484,14920940.35868144,5.96338738700544,6.463995797232748,6.4129567687574145,0.012459857331109984,0.010863923306298167,0.009038407026203534,192,173.0,365.0,2171.8854449976902,2349.8327815040957,17007.504156087838,17007.504156087838,100372431.3462348,0.4625199749184881,0.5374800250815119,2267.5285838863415,17007.504156087838
24,112055300.38162184,41619735.24962322,2.6923597593676734,0.13723655198161683,0.03074707371812946,0.1679836256997463,107619643.29356806,5081923.211450502,112701566.50501856,0.8250652284229116,6.009412857681684,2.757354516254881,0.7246206544787401,0.019192120563381706,0.3851600362365882,155,185.0,340.0,9612.50051683021,7932.094018006945,16955.128419668174,16955.128419668174,153675035.63124505,0.729170485767819,0.2708295142321811,9157.396841041307,16955.128419668174
242,3014872.2829146334,7862692.384567376,0.3834401926790525,0.00797533561218029,0.06063332183469169,0.06860865744687197,1120150.5690669105,1367834.0639944724,2487984.633061383,4.587313530603277,5.995377893045773,5.977738163503993,0.03788145197279416,0.03145113060073516,0.022491333554453798,148,169.0,317.0,6053.245093791411,6239.140917265952,19604.35237494931,19552.483235041185,10877564.66748201,0.2771642711467815,0.7228357288532186,6187.6172368434,19604.35237494931
246,213117120.7639846,198671634.80055055,1.0727103593723184,0.0627019105921498,0.05620690564327014,0.11890881623541993,37913548.40151888,9754690.247686666,47668238.64920554,5.85630278609632,6.448444988215111,6.421854805135803,0.011336770827897288,0.009339791412103999,0.007361919407170366,209,192.0,401.0,3279.288565607343,2830.143620231321,16671.085417812916,16671.085417812916,411788755.56453514,0.5175399227980743,0.48246007720192574,3062.5940605863725,16671.085417812916
