i,export_value,balance_ratio,export_stability_index,top_five_export,export_entropy,export_HHI,export_partner_count,average_export_distance,farthest_export_distance
688,51715550.243931055,0.8013491223356088,0.05507116216995447,6848435.678065114,5.995862413828649,0.0075263232750776695,178,1441.9515908468904,17629.72645713089
690,2150910.878895098,0.8072163527515265,0.12816204174652782,1724693.5080765877,2.4754189748699473,0.18475459176932243,122,6922.656726596118,16680.24457100117
694,2111797.973512109,0.6976529612116841,0.05682413391301089,1407244.146904513,3.068770415431566,0.10586913135588844,117,8567.864401612884,18899.08211521921
70,20015374.06198032,0.6349023304408861,0.06517431691764562,2609718.744600764,5.639264396041254,0.008315435401462611,166,990.6795868606835,17869.59518019978
702,685142063.4398263,0.7652095619990383,0.060614207622008615,203053370.25282916,5.103463556228023,0.04132016237444764,215,4472.103744887476,19727.55201207025
703,236739949.85540438,1.0239263369983014,0.04657023655883997,57435582.33171845,5.542070363687305,0.017228462615742977,199,1466.7545406462827,17709.143504724678
704,691754265.2500689,1.0993125746332295,0.09131023874687777,196835453.4237211,5.245383040154104,0.031786863341954616,166,5354.957777888234,19179.241021272966
705,97585365.13815837,0.9769165692097688,0.06121022836091874,17066556.12329928,6.077166466531626,0.010162153638305148,203,1485.8521279161685,18095.358255795658
706,1525424.3380935825,0.17569339177619558,0.031152057477910042,1221058.3805934212,2.332910573309932,0.1620089638200764,87,2568.5577888300068,15230.548068180045
716,10620172.525843041,0.6459216250706351,0.08875266345300632,6868355.712797221,3.1236972375690777,0.11602553177005986,135,5890.336377362856,15079.566595902677
724,904089945.0406139,0.89156193350169,0.04087334180895408,136081619.73012185,6.541264812294026,0.0068964366856642196,217,3426.2439038621133,19568.98687580313
728,4528880.193,2.6437403446125036,0.089681947472737,4487450.019999999,0.18064794197080308,0.9518622150249132,49,7947.240905018639,14602.674650868114
729,13322157.531948578,0.5137642014849919,0.0831161503314132,10366869.971899375,2.3962950152899083,0.20063478674483204,144,3516.419930469508,15357.965129684397
740,5426860.043179543,1.8691547898722634,0.1336982959579325,4680978.429081166,1.6331261891787334,0.4492329968920005,112,10931.59142446628,19228.929028769762
752,444923176.18744236,1.0177920889684293,0.04408238737709573,72170705.98142453,6.162490550701767,0.008637341693354028,216,3156.616869316246,17159.98440947934
76,662442531.202372,1.4441956390474913,0.07228663855240106,221471684.8238717,4.907129146523658,0.03219715145055747,219,11000.202545325565,19561.93691357894
760,2286977.57938783,0.13957088294386316,0.00948756031803506,687416.5672744609,4.714617785432274,0.02953145290435374,116,1576.1380895734546,15900.941892893745
762,2961157.2579034674,0.27702676406299653,0.047177293075407266,1925510.0699738276,2.936588554049675,0.09754157290791275,93,2233.7096013121277,16746.899296594835
764,770134820.5236093,1.24745313748025,0.04543234718068137,122572991.73542929,5.965271990718085,0.009594315155514068,218,4660.908980470049,19183.803549590164
768,7350188.95824477,0.2772286881307295,0.03684746863755552,5008232.623289233,2.9056014954396776,0.1689789334240128,125,3931.593678554689,17899.763990751508
776,41571.798781449426,0.08864353006193047,0.007067257104821296,24319.40506664967,3.2119439351517456,0.0985213033260903,50,7150.211793955454,18808.197042869626
780,23493744.9112731,1.648462657497619,0.08319312147025956,19677828.204536367,2.1581476736950376,0.1857344226765441,120,6168.522610515314,19083.911318835122
784,624749443.6634676,0.8958549383507292,0.07722161432808358,337136111.17661023,4.167067553559582,0.08608988808929383,213,4129.440415468596,15019.663376766694
788,47182756.50229062,0.7796035366232598,0.009880872763385609,10126934.71909564,5.37151332039627,0.01577097674315997,177,2871.663067014788,18218.165277900804
792,502135351.4101114,0.819784956229958,0.03854409689878692,58860618.51218938,6.351815372670421,0.005757158816764356,209,2907.4414241068393,16451.57604380252
795,23425653.497890078,1.9519951055286133,0.09986873284052526,21646677.303041175,1.108415446484062,0.6231089739149225,102,3539.99910715734,15775.038266569645
798,81588.95789508155,0.7332566505657742,0.25897379862439995,76647.10351531956,1.60371561517155,0.3060758206549378,48,8852.514285860236,18943.478252142442
8,7314658.288744983,0.537806769720418,0.041350215328063857,2079567.4838931288,4.871694780463077,0.023332572759705985,129,2084.4818907913796,17643.955938164345
800,10231871.452182977,0.5959217388648307,0.07402719693813135,5043713.087819712,3.982011330375657,0.07411277968258378,156,3001.0868037336804,14850.305370815826
804,136195426.44982535,0.8881152902975548,0.0681997511720221,36233798.59351574,5.161799152025032,0.022212457831365467,197,2807.3374097256774,16838.79967514027
807,19336774.585876632,0.7989448210959555,0.07952433952441874,7660045.354628207,4.467678321806449,0.04651937474900122,147,1289.212184697477,17520.113836126213
818,95892583.00342149,0.4327318891884858,0.03885553656186221,29578934.018157553,5.247070925054394,0.031284184153206766,178,3332.9644013483867,17321.662781223233
826,1235778616.0802877,0.6405124269459428,0.03384044870506437,233267081.50259584,6.09725744799032,0.01065993515020211,219,3965.0904248596867,18583.662199071983
834,19442346.075021155,0.703668409950169,0.0031606790755480483,8916945.787941864,4.147283961082335,0.09729133483528625,166,4762.661012206587,15059.723714301812
84,1220530.269461461,0.3739303256449113,0.02482689000672841,558890.4975049421,4.035638467523342,0.05774613127827163,134,8457.851084405807,17536.747169497343
854,14949422.455807494,1.3669399709266743,0.08559747500526503,13362595.75848362,1.784688108798081,0.28226809506134515,133,6288.065318259229,18878.623034787182
858,26098861.63075692,0.8756382871648146,0.04222589663307981,10946105.2636451,4.1549668812132445,0.053979831230025685,174,10275.125567890147,19484.750780629536
860,27971174.816128504,0.6898944796352818,0.08486062291133668,16744915.75056561,3.375234057317445,0.1374421001132874,123,2644.0661754376197,16145.491337634221
862,86998920.78221291,2.539712144131596,0.059782128515984495,80786127.94909059,1.2345072838319822,0.5544094173620123,128,13227.34413767019,19349.778218434785
882,229236.56486032193,0.17622076893232064,0.0250991835716906,106469.52880983584,3.940484112996053,0.06066278560006707,84,7198.733274686947,18970.479436136116
887,4527256.537809842,0.20307437473888937,0.06390304060070737,3434576.406411634,2.293349974763552,0.25790488901088143,90,3356.1384571597578,14522.662675393572
894,28480187.852480598,1.302497197626123,0.19355037256084018,22069941.967652816,2.2810118212987796,0.28564134828383775,132,7061.572107456223,14680.116294470346
90,2412313.3529259274,1.34385290341093,0.10474267090919764,1939782.7333000451,2.1702718941228873,0.22243030063198038,89,7670.821485990581,18356.9459739459
96,16499285.206446111,1.533743175082103,0.0920317372488101,15558889.80718329,1.3656154774210898,0.40265471893021537,110,3302.6507482859392,18885.52332375434
